Minutes,Hour Began,Customers Affected,Latitude,Mean Elevation ,AvgAnnualPrecipitationIn,TempAvg,TempAvgHighF,TempAvgLowF,
0,20,57531,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,19,120001,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,7,79000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,14,284256,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,19,283451,40.0417,600,40.7,51.8,62.7,42.6,[1] 0
0,19,71000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,17,250000,46.2807,1200,28.6,41.2,51.9,31.4,[0] 0
0,19,150084,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,22,185434,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,17,72707,31.0689,100,59.7,66.4,77.5,56.7,[0] 0
0,19,140932,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
1,12,70000,38.3566,800,43.5,54.5,66,44.5,[1] 1
1,14,109335,40.8781,1100,45,48.8,59.7,39.2,[1] 1
1,5,152261,42.9538,1000,43.5,45.4,55.9,36.1,[1] 1
1,0,180000,42.9538,1000,43.5,45.4,55.9,36.1,[1] 1
1,0,200717,40.8781,1100,45,48.8,59.7,39.2,[1] 1
1,22,264000,40.8781,1100,45,48.8,59.7,39.2,[1] 1
1,2,284000,40.8781,1100,45,48.8,59.7,39.2,[1] 1
1,17,52,42.9538,1000,43.5,45.4,55.9,36.1,[1] 1
1,16,54000,35.5889,1300,36.4,59.6,72.3,48.3,[1] 1
1,23,150000,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,12,57000,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,10,81406,37.1841,2900,22.3,59.4,71.5,46.5,[1] 1
1,22,265000,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,12,300000,44.3467,900,33.9,44.4,55,35.3,[1] 1
1,20,300000,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
